"code","name","lat","long"
"7606","KAB. MAMUJU TENGAH",-2.0819194,119.30102
"8101","KAB. MALUKU TENGAH",-3.3042648,128.95409
"8102","KAB. MALUKU TENGGARA",-5.6829166,132.71727
"8103","KAB. KEPULAUAN TANIMBAR",-7.9701157,131.31227
"8104","KAB. BURU",-3.2591746,127.10278
"8105","KAB. SERAM BAGIAN TIMUR",-3.1037498,130.4886
"8106","KAB. SERAM BAGIAN BARAT",-3.0666633,128.23004
"8107","KAB. KEPULAUAN ARU",-5.775178,134.21458
"8108","KAB. MALUKU BARAT DAYA",-8.148038,127.80155
"8109","KAB. BURU SELATAN",-3.83779,126.73426
"8171","KOTA AMBON",-3.6943238,128.1813
"8172","KOTA TUAL",-5.6346807,132.75172
"8201","KAB. HALMAHERA BARAT",1.0804684,127.480156
"8202","KAB. HALMAHERA TENGAH",0.33042362,127.870255
"8203","KAB. HALMAHERA UTARA",1.7281874,127.992195
"8204","KAB. HALMAHERA SELATAN",-0.64547455,127.50498
"8205","KAB. KEPULAUAN SULA",-2.006978,125.96414
"8206","KAB. HALMAHERA TIMUR",0.67744344,128.28409
"8207","KAB. PULAU MOROTAI",2.0132966,128.28372
"8208","KAB. PULAU TALIABU",-1.9474435,124.387215
"8271","KOTA TERNATE",0.7857514,127.38785
"8272","KOTA TIDORE KEPULAUAN",0.67156535,127.446724
"9101","KAB. MERAUKE",-8.508697,140.40968
"9102","KAB. JAYAWIJAYA",-4.0993066,138.94315
"9103","KAB. JAYAPURA",-2.5498717,140.4771
"9104","KAB. NABIRE",-3.363366,135.50389
"9105","KAB. KEPULAUAN YAPEN",-1.8740668,136.23708
"9106","KAB. BIAK NUMFOR",-1.1707087,136.0902
"9107","KAB. PUNCAK JAYA",-3.7162075,137.98782
"9108","KAB. PANIAI",-3.9414353,136.42163
"9109","KAB. MIMIKA",-4.455857,136.85373
"9110","KAB. SARMI",-1.8685727,138.74423
"9111","KAB. KEEROM",-2.9087253,140.77335
"9112","KAB. PEGUNUNGAN BINTANG",-4.8909025,140.63992
